T-PMT-T2;ChS1-T2;ChS1-T3;distance;pH;;;;;;
24907;20888;3670;0.42;6.98;;;;;;
23734;19642;2950;0.83;6.89;;;;;;
22381;21008;3291;1.24;6.91;;;;;;
22392;19600;3099;1.66;6.92;;;;;;
22247;19126;3410;2.07;6.99;;;;;;
21505;20941;4448;2.49;7.10;;;;;;
22271;20160;3497;2.90;6.97;;;;;;
22584;20907;4239;3.32;7.07;;;;;;
22774;20046;3100;3.73;6.90;;;;;;
22774;20046;3100;4.15;6.90;;;;;;
21074;19253;4224;4.56;7.12;;;;;;
20047;20977;2781;4.98;6.82;;;;;;
20318;22408;3564;5.39;6.92;;;;;;
20704;19952;3808;5.81;7.03;;;;;;
20098;21044;4231;6.22;7.06;;;;;;
19664;19009;4317;6.64;7.14;;;;;;
20277;22174;4752;7.05;7.10;;;;;;
21128;19322;4963;7.47;7.22;;;;;;
22156;22473;4620;7.88;7.07;;;;;;
22566;19711;3813;8.30;7.04;;;;;;
22490;20942;4524;8.71;7.11;;;;;;
23521;20047;3733;9.13;7.01;;;;;;
23266;20641;4433;9.54;7.10;;;;;;
22859;21058;4630;9.96;7.12;;;;;;
22244;20052;4223;10.37;7.09;;;;;;
22337;19513;4307;10.79;7.12;;;;;;
23059;20275;5259;11.20;7.23;;;;;;
24757;19907;3304;11.61;6.95;;;;;;
24757;19907;3304;12.03;6.95;;;;;;
27267;20837;3855;12.44;7.01;;;;;;
27349;19592;3782;12.86;7.04;;;;;;
26275;19221;5299;13.27;7.27;;;;;;
27544;19271;4814;13.69;7.20;;;;;;
26280;19712;4154;14.10;7.09;;;;;;
27393;19982;4112;14.52;7.08;;;;;;
29580;17520;3427;14.93;7.04;;;;;;
32022;19735;4060;15.35;7.08;;;;;;
31426;18741;4052;15.76;7.11;;;;;;
31769;17166;4327;16.18;7.21;;;;;;
28643;18271;5061;16.59;7.28;;;;;;
30202;18519;5382;17.01;7.31;;;;;;
32401;19253;5596;17.42;7.31;;;;;;
33470;18426;4590;17.84;7.20;;;;;;
32512;19813;4532;18.25;7.14;;;;;;
32797;18048;4859;18.67;7.26;;;;;;
33357;18588;5295;19.08;7.30;;;;;;
34925;16074;5686;19.50;7.47;;;;;;
34925;16074;5686;19.91;7.47;;;;;;
33646;17404;4391;20.33;7.21;;;;;;
34640;18890;6786;20.74;7.48;;;;;;
35241;16755;5409;21.16;7.39;;;;;;
36070;20036;5459;21.57;7.26;;;;;;
37628;17057;5571;21.98;7.40;;;;;;
38605;18758;4385;22.40;7.16;;;;;;
39293;17883;5465;22.81;7.35;;;;;;
39903;17175;5014;23.23;7.31;;;;;;
41141;20367;5153;23.64;7.21;;;;;;
40246;18526;5185;24.06;7.28;;;;;;
39912;17714;5043;24.47;7.30;;;;;;
40516;19252;5341;24.89;7.28;;;;;;
40438;18393;5289;25.30;7.30;;;;;;
40324;17972;6305;25.72;7.46;;;;;;
40157;17916;5114;26.13;7.30;;;;;;
40777;18672;5338;26.55;7.30;;;;;;
39494;17130;5706;26.96;7.42;;;;;;
40342;18485;5256;27.38;7.29;;;;;;
40342;18485;5256;27.79;7.29;;;;;;
41981;16926;5804;28.21;7.44;;;;;;
41497;16395;6910;28.62;7.64;;;;;;
40795;18538;5066;29.04;7.27;;;;;;
41157;15950;5924;29.45;7.51;;;;;;
40802;16379;5560;29.87;7.43;;;;;;
41057;16425;5727;30.28;7.46;;;;;;
42462;18501;5644;30.70;7.35;;;;;;
43420;17760;6222;31.11;7.46;;;;;;
43612;15457;5793;31.53;7.52;;;;;;
43078;18494;5997;31.94;7.40;;;;;;
42564;16169;6188;32.35;7.54;;;;;;
44145;16502;6401;32.77;7.55;;;;;;
43863;16566;7145;33.18;7.66;;;;;;
43014;17362;5683;33.60;7.40;;;;;;
43461;14280;7045;34.01;7.82;;;;;;
43601;14668;6338;34.43;7.66;;;;;;
44675;15680;5663;34.84;7.49;;;;;;
46524;15704;5905;35.26;7.52;;;;;;
46524;15704;5905;35.67;7.52;;;;;;
44392;15428;5222;36.09;7.43;;;;;;
44959;16541;6007;36.50;7.49;;;;;;
43477;16564;6371;36.92;7.55;;;;;;
44881;16685;6950;37.33;7.62;;;;;;
43204;15624;5857;37.75;7.52;;;;;;
42392;17187;5355;38.16;7.36;;;;;;
44261;16248;5849;38.58;7.48;;;;;;
44869;15249;5852;38.99;7.54;;;;;;
44895;14247;6930;39.41;7.80;;;;;;
44358;15022;5637;39.82;7.52;;;;;;
42031;14861;6060;40.24;7.60;;;;;;
41617;15392;6154;40.65;7.58;;;;;;
42882;15162;5621;41.07;7.51;;;;;;
43280;13545;7283;41.48;7.95;;;;;;
43413;16648;6294;41.90;7.53;;;;;;
44642;15061;6308;42.31;7.63;;;;;;
45178;13957;5992;42.72;7.66;;;;;;
45350;13332;6532;43.14;7.81;;;;;;
44360;15542;7141;43.55;7.73;;;;;;
45984;14802;6584;43.97;7.69;;;;;;
44372;15113;7092;44.38;7.76;;;;;;
42684;14341;7448;44.80;7.89;;;;;;
44301;12548;5802;45.21;7.74;;;;;;
46642;14597;6477;45.63;7.69;;;;;;
44691;14459;5960;46.04;7.61;;;;;;
43334;13310;6748;46.46;7.86;;;;;;
43116;14443;6392;46.87;7.69;;;;;;
44089;14654;8018;47.29;7.98;;;;;;
43313;15191;6629;47.70;7.67;;;;;;
43964;13176;6444;48.12;7.81;;;;;;
43921;12769;6672;48.53;7.90;;;;;;
44039;15241;7580;48.95;7.83;;;;;;
45888;13502;5765;49.36;7.65;;;;;;
46009;14592;7389;49.78;7.86;;;;;;
45963;12950;6148;50.19;7.77;;;;;;
44270;14219;7451;50.61;7.91;;;;;;
41669;12786;7080;51.02;8.00;;;;;;
44401;12291;7143;51.44;8.09;;;;;;
45286;13598;7138;51.85;7.91;;;;;;
43209;13160;6338;52.26;7.79;;;;;;
43851;13183;5836;52.68;7.69;;;;;;
42687;14906;7073;53.09;7.77;;;;;;
43246;12214;7135;53.51;8.10;;;;;;
43113;13531;6397;53.92;7.77;;;;;;
44351;12699;6088;54.34;7.78;;;;;;
45188;14729;7121;54.75;7.80;;;;;;
44912;13168;6375;55.17;7.80;;;;;;
46336;11427;6186;55.58;7.96;;;;;;
44904;11862;6709;56.00;8.04;;;;;;
44562;14153;7735;56.41;7.98;;;;;;
42401;13766;6613;56.83;7.79;;;;;;
41211;14032;6454;57.24;7.73;;;;;;
44273;13145;6371;57.66;7.80;;;;;;
44258;13060;7444;58.07;8.05;;;;;;
43513;15138;7463;58.49;7.82;;;;;;
43442;12681;5995;58.90;7.77;;;;;;
44128;14331;7679;59.32;7.94;;;;;;
40343;14059;7669;59.73;7.97;;;;;;
41566;12593;6532;60.15;7.89;;;;;;
39214;13106;5712;60.56;7.67;;;;;;
42592;13059;7226;60.98;8.00;;;;;;
45994;12785;6582;61.39;7.88;;;;;;
45827;14144;6753;61.81;7.78;;;;;;
45681;13421;7280;62.22;7.96;;;;;;
45521;11234;7143;62.63;8.31;;;;;;
44459;12702;7002;63.05;7.99;;;;;;
46832;12543;7592;63.46;8.18;;;;;;
46922;15080;7560;63.88;7.84;;;;;;
45441;12882;6079;64.29;7.76;;;;;;
44066;13863;7158;64.71;7.89;;;;;;
44909;13709;8007;65.12;8.10;;;;;;
45111;13178;6288;65.54;7.78;;;;;;
45446;12201;7263;65.95;8.14;;;;;;
45474;13873;7029;66.37;7.86;;;;;;
45472;13204;6951;66.78;7.92;;;;;;
45550;14681;8534;67.20;8.09;;;;;;
45450;12431;7469;67.61;8.16;;;;;;
45490;12851;6615;68.03;7.88;;;;;;
45412;14336;7626;68.44;7.93;;;;;;
45475;13321;7358;68.86;7.99;;;;;;
45480;13405;8213;69.27;8.21;;;;;;
45403;14000;8416;69.69;8.16;;;;;;
45386;13950;7453;70.10;7.94;;;;;;
45397;12523;7703;70.52;8.22;;;;;;
45437;15034;6343;70.93;7.64;;;;;;
45396;12032;7238;71.35;8.16;;;;;;
45513;13553;7444;71.76;7.98;;;;;;
45343;14222;7512;72.18;7.92;;;;;;
45433;13454;6730;72.59;7.84;;;;;;
45408;13767;7059;73.00;7.88;;;;;;
45285;13440;9300;73.42;8.66;;;;;;
45333;13068;9265;73.83;8.82;;;;;;
45430;14262;8441;74.25;8.13;;;;;;
45365;11958;7056;74.66;8.12;;;;;;
45365;11958;7056;75.08;8.12;;;;;;
45435;11679;6899;75.49;8.12;;;;;;
45241;13421;8999;75.91;8.50;;;;;;
45327;12116;6274;76.32;7.89;;;;;;
45255;13933;8106;76.74;8.09;;;;;;
45266;14459;6874;77.15;7.77;;;;;;
45303;11896;6447;77.57;7.96;;;;;;
45362;13370;7726;77.98;8.08;;;;;;
45422;14829;6633;78.40;7.70;;;;;;
45438;13999;6886;78.81;7.82;;;;;;
45286;14017;6121;79.23;7.67;;;;;;
45400;13613;6427;79.64;7.77;;;;;;
45254;13146;7183;80.06;7.98;;;;;;
45303;13193;7320;80.47;8.00;;;;;;
45361;12713;7534;80.89;8.13;;;;;;
45288;13861;7677;81.30;8.00;;;;;;
45311;10504;6965;81.72;8.45;;;;;;
45297;12314;7115;82.13;8.08;;;;;;
45163;13709;8901;82.55;8.38;;;;;;
45121;13037;8833;82.96;8.55;;;;;;
45121;13037;8833;83.37;8.55;;;;;;
45247;15049;8748;83.79;8.09;;;;;;
45403;11106;6963;84.20;8.27;;;;;;
45338;13804;7181;84.62;7.90;;;;;;
45468;14548;6435;85.03;7.69;;;;;;
45333;11389;8298;85.45;9.12;;;;;;
45221;12756;6631;85.86;7.90;;;;;;
45153;12712;6450;86.28;7.86;;;;;;
45176;12645;7102;86.69;8.02;;;;;;
45149;12019;6984;87.11;8.09;;;;;;
45107;14051;7641;87.52;7.97;;;;;;
45303;12956;6679;87.94;7.88;;;;;;
45287;13201;7914;88.35;8.16;;;;;;
45375;13189;7194;88.77;7.97;;;;;;
45352;12587;7362;89.18;8.10;;;;;;
45236;13175;6370;89.60;7.80;;;;;;
45222;11963;6513;90.01;7.97;;;;;;
45089;12195;6653;90.43;7.97;;;;;;
45293;12516;8173;90.84;8.40;;;;;;
45293;12516;8173;91.26;8.40;;;;;;
45263;12597;8033;91.67;8.32;;;;;;
45237;11585;7716;92.09;8.47;;;;;;
45308;13470;6463;92.50;7.79;;;;;;
45278;12544;7015;92.92;8.02;;;;;;
45232;12421;8052;93.33;8.37;;;;;;
45246;14496;7246;93.74;7.84;;;;;;
45201;12207;6780;94.16;8.00;;;;;;
45277;12770;7556;94.57;8.13;;;;;;
45167;13840;7922;94.99;8.06;;;;;;
45279;10555;6503;95.40;8.22;;;;;;
45192;12682;7872;95.82;8.24;;;;;;
45198;12448;6604;96.65;7.93;;;;;;
45236;11573;7950;97.06;8.62;;;;;;
45185;13667;7166;97.48;7.91;;;;;;
45196;12487;6023;97.89;7.79;;;;;;
45229;14386;7684;98.31;7.94;;;;;;
45352;13501;7158;98.72;7.93;;;;;;
45352;13501;7158;99.14;7.93;;;;;;
45280;12098;7240;99.55;8.15;;;;;;
45146;12424;7074;100.38;8.05;;;;;;
45256;11002;7800;100.80;8.82;;;;;;
45158;12943;7170;101.21;8.00;;;;;;
45249;11674;8047;101.63;8.63;;;;;;
45183;11393;6753;102.04;8.13;;;;;;
45257;11477;8323;102.46;9.06;;;;;;
45155;11998;6747;102.87;8.03;;;;;;
45203;11838;8187;103.28;8.65;;;;;;
45212;12267;7493;103.70;8.20;;;;;;
45206;12129;5981;104.11;7.82;;;;;;
45182;12974;7403;104.53;8.05;;;;;;
45243;12014;6137;104.94;7.87;;;;;;
45158;13378;7062;105.36;7.92;;;;;;
45173;11017;6840;105.77;8.24;;;;;;
45215;12893;7120;106.19;7.99;;;;;;
45179;10953;7431;106.60;8.55;;;;;;
45179;10953;7431;107.02;8.55;;;;;;
